,Ind_risk,Mngmt_risk,flex,cread,comp,oper_risk
0,P,P,A,A,A,P
1,N,N,A,A,A,N
2,A,A,A,A,A,A
3,P,P,P,P,P,P
4,N,N,P,P,P,N
5,A,A,P,P,P,A
6,P,P,A,P,P,P
7,P,P,P,A,A,P
8,P,P,A,P,A,P
9,P,P,A,A,P,P
10,P,P,P,P,A,P
11,P,P,P,A,P,P
12,N,N,A,P,P,N
13,N,N,P,A,A,N
14,N,N,A,P,A,N
15,N,N,A,P,A,N
16,N,N,A,A,P,N
17,N,N,P,P,A,N
18,N,N,P,A,P,N
19,A,A,A,P,P,A
20,A,A,P,A,A,A
21,A,A,A,P,A,A
22,A,A,A,A,P,A
23,A,A,P,P,A,A
24,A,A,P,A,P,A
25,P,N,A,A,A,P
26,N,P,A,A,A,N
27,P,N,A,A,A,N
28,P,N,P,P,P,P
29,N,P,P,P,P,N
30,P,N,P,P,P,N
31,N,N,A,P,P,P
32,P,N,P,A,A,P
33,N,P,A,P,A,P
34,N,P,A,A,P,N
35,P,N,P,P,A,N
36,N,P,P,A,P,A
37,A,N,A,P,P,A
38,A,P,P,A,A,A
39,A,A,A,P,A,P
40,A,A,A,A,P,N
41,N,A,P,P,P,N
42,A,N,P,A,P,N
43,A,P,P,A,P,N
44,N,N,P,A,P,P
45,N,N,P,P,P,P
46,P,A,P,P,P,N
47,A,P,P,P,P,N
48,A,N,N,A,P,P
49,A,P,P,A,P,P
50,P,A,P,A,P,N
51,A,N,A,A,P,P
52,A,N,A,A,P,N
53,A,N,A,A,P,A
54,A,A,N,P,P,A
55,A,A,N,P,P,P
56,A,P,P,P,P,P
57,A,P,A,A,A,P
58,N,P,N,P,P,A
59,N,N,P,P,P,A
60,A,A,A,P,P,A
61,A,A,A,P,P,P
62,P,A,A,P,P,P
63,A,N,N,P,P,A
64,P,N,N,P,P,A
65,A,A,N,P,P,P
66,P,A,P,N,P,N
67,P,A,N,A,P,N
68,P,P,P,A,P,N
69,P,A,P,N,P,N
70,P,A,A,P,P,N
71,P,P,A,P,P,P
72,P,A,P,A,P,P
73,P,P,A,A,P,N
74,A,A,A,A,A,P
75,P,P,A,P,P,N
76,A,P,N,P,A,P
77,A,P,A,P,A,P
78,P,A,N,A,P,A
79,A,P,N,P,A,P
80,P,A,A,A,P,A
81,A,P,A,P,A,P
82,A,P,P,P,P,P
83,P,A,A,N,P,P
84,A,P,A,A,A,P
85,A,N,N,N,P,P
86,N,P,N,P,P,A
87,P,N,A,N,A,P
88,N,N,P,P,P,A
89,A,A,A,P,P,A
90,A,A,A,P,P,P
91,P,A,A,P,P,P
92,A,N,N,P,P,A
93,A,A,N,P,P,P
94,P,A,P,N,P,N
95,P,P,P,A,P,N
96,P,A,P,N,P,N
97,P,A,A,P,P,N
98,P,P,A,P,P,P
99,P,A,P,A,P,P
100,P,P,A,A,P,N
101,A,A,A,A,A,P
102,P,P,A,P,P,N
103,A,P,N,P,A,P
104,P,A,A,A,P,A
105,A,P,A,P,A,P
106,A,P,N,P,A,P
107,A,P,A,P,A,P
108,P,P,A,A,A,P
109,N,N,A,A,A,N
110,A,A,A,A,A,A
111,P,P,P,P,P,P
112,N,N,P,P,P,N
113,A,A,P,P,P,A
114,P,P,A,P,P,P
115,P,P,P,A,A,P
116,P,P,A,P,A,P
117,P,P,A,A,P,P
118,P,P,P,P,A,P
119,P,P,P,A,P,P
120,N,N,A,P,P,N
121,N,N,P,A,A,N
122,N,N,A,P,A,N
123,N,N,A,P,A,N
124,N,N,A,A,P,N
125,N,N,P,P,A,N
126,N,N,P,A,P,N
127,A,A,A,P,P,A
128,A,A,P,A,A,A
129,A,A,A,P,A,A
130,A,A,A,A,P,A
131,A,A,P,P,A,A
132,A,A,P,A,P,A
133,P,N,A,A,A,P
134,N,P,A,A,A,N
135,P,N,A,A,A,N
136,P,N,P,P,P,P
137,N,P,P,P,P,N
138,P,N,P,P,P,N
139,N,N,A,P,P,P
140,P,N,P,A,A,P
141,N,P,A,P,A,P
142,N,P,A,A,P,N
143,A,N,N,N,N,A
144,P,N,N,N,N,N
145,N,P,N,N,N,N
146,A,P,N,A,N,N
147,N,N,N,N,N,N
148,N,N,N,A,N,A
149,N,N,N,N,N,P
150,N,N,N,N,N,A
151,N,N,N,A,N,P
152,N,N,N,A,N,N
153,N,N,A,N,N,N
154,P,N,N,N,N,N
155,A,N,N,N,N,N
156,N,N,N,N,N,N
157,P,N,N,N,A,A
158,A,N,N,N,N,A
159,A,N,N,N,N,A
160,A,A,N,N,N,P
161,A,N,N,N,N,N
162,P,A,N,N,N,A
163,P,N,N,N,N,P
164,P,A,N,N,N,N
165,P,N,N,N,N,N
166,N,A,N,N,N,P
167,N,N,N,N,N,A
168,A,A,N,N,N,N
169,A,A,N,N,N,N
170,P,P,N,N,N,N
171,A,P,N,N,N,N
172,P,A,N,N,N,N
173,A,N,N,N,N,N
174,N,N,N,N,N,N
175,N,A,N,N,N,N
176,P,N,N,N,N,N
177,N,P,N,N,N,N
178,A,P,N,A,N,N
179,N,N,N,P,N,P
180,N,N,N,N,N,N
181,N,N,N,A,N,A
182,N,N,N,P,N,N
183,N,N,N,N,N,P
184,N,N,N,N,N,A
185,N,N,N,A,N,P
186,N,N,N,A,N,N
187,N,N,A,N,N,N
188,P,N,N,N,N,N
189,A,N,N,N,N,N
190,N,N,N,N,N,N
191,P,N,N,N,A,A
192,P,N,N,N,A,A
193,A,N,N,N,N,A
194,N,N,N,N,N,A
195,N,P,N,N,N,N
196,A,P,N,A,N,N
197,N,N,N,N,N,N
198,N,N,N,A,N,A
