Param,CART,EBM,LR,GNB,LR_l2,DL
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Pregnancies,6.069106280009765,8.304395152822016,2.7108527474384703,4.158396094391314,0.0,21.378887644783454
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
Glucose,6.117085183207244,3.661269031263132,1.4741341007934063,2.7013848462560466,0.0,26.57847567664049
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
BloodPressure,4.641485043870847,4.182343343449518,1.4331512738287138,6.265583382676772,0.0,18.816810415097738
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
SkinThickness,5.3330948018576105,2.9870231782659715,1.024282645616791,11.02854983848701,0.0,21.801029045973227
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
Insulin,7.035636058151271,3.0797759345296876,2.612734608743963,45.64862478566694,0.0,26.676888382494443
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
BMI,10.770696077063036,9.088363342704666,2.249353020888167,15.929188763304188,0.0,25.575618499959667
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
DiabetesPedigreeFunction,8.123311550025496,9.743641748341478,2.9430325997983777,15.93039649125301,0.0,13.2823570402581
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
Age,3.7798882542882812,4.511454311298236,2.524965233842888,7.653266865168147,0.0,17.892113984733196
